District,Crops,Kharif
Bagalkote,Linseed,0
Bagalkote,Safflower,0
Bagalkote,Maize,0
Bagalkote,Ben.gram,0
Bagalkote,Wheat,0
Bagalkote,Sunflower,0
Bagalkote,Jowar,0
Bagalkote,Bajra,1
Bagalkote,Maize,1
Bagalkote,Sunflower,1
Bagalkote,Jowar,1
Bagalkote,G.nut,1
Bagalkote,Sesamum,1
Bagalkote,Soyabean,1
Bagalkote,G.gram,1
Bagalkote,H.gram,1
Bagalkote,Cotton,1
Bagalkote,Horsegram,0
Bagalkote,S.cane,1
Bangalore Rural,Ragi,1
Bangalore Rural,Paddy,1
Bangalore Rural,Horsegram,0
Bangalore Rural,Avare,1
Bangalore Rural,H.gram,1
Bangalore Rural,Niger,1
Bangalore Rural,Maize,1
Bangalore Rural,G.nut,1
Bangalore Rural,Castor,1
Bangalore Urban,Ragi,1
Bangalore Urban,Paddy,1
Bangalore Urban,Avare,1
Bangalore Urban,Maize,1
Bangalore Urban,Horsegram,0
Belgaum,Sunflower,1
Belgaum,Tur,1
Belgaum,Avare,1
Belgaum,Horsegram,1
Belgaum,Maize,1
Belgaum,Paddy,1
Belgaum,Cotton,1
Belgaum,Sugarcane,1
Belgaum,Tobacco,1
Belgaum,Bajra,1
Belgaum,Greengram,1
Belgaum,Soyabean,1
Belgaum,Cowpea,1
Belgaum,M.Millets,1
Belgaum,G.nut,1
Belgaum,Sunflower,0
Belgaum,Linseed,0
Belgaum,Safflower,0
Belgaum,Bengalgram,0
Belgaum,Maize,0
Belgaum,Wheat,0
Belgaum,Jowar,0
Belgaum,Jowar,1
Belgaum,Horsegram,0
Bellary,Bengalgram,0
Bellary,Wheat,0
Bellary,H.gram,0
Bellary,Cotton,0
Bellary,Safflower,0
Bellary,Jowar,0
Bellary,Sunflower,0
Bellary,Jowar,1
Bellary,Maize,1
Bellary,Bajra,1
Bellary,Ragi,1
Bellary,Cotton,1
Bellary,Tur,1
Bellary,H.gram,1
Bellary,M.Millets,1
Bellary,Niger,1
Bellary,Sesamum,1
Bellary,G.nut,1
Bellary,Sunflower,1
Bidar,Greengram,1
Bidar,WheatSunflower,0
Bidar,Jowar,0
Bidar,Bengalgram,0
Bidar,S.cane,1
Bidar,Tur,1
Bidar,M.Millets,1
Bidar,Paddy,1
Bidar,Niger,1
Bidar,Sesamum,1
Bidar,Bajra,1
Bidar,Jowar,1
Bidar,Blackgram,1
Bidar,Safflower,0
Bidar,Sunflower,1
Bidar,Linseed,0
Bijapur,S.cane,1
Bijapur,Cotton,0
Bijapur,Linseed,0
Bijapur,Bengalgram. Safflower,0
Bijapur,Wheat,0
Bijapur,Sunflower,0
Bijapur,Jowar,0
Bijapur,Cotton,1
Bijapur,Tur,1
Bijapur,Horsegram,1
Bijapur,Maize,1
Bijapur,G.nut,1
Bijapur,Sunflower,1
Bijapur,Bajra,1
Chamrajnagara,Paddy,1
Chamrajnagara,Ragi,1
Chamrajnagara,Cowpea,1
Chamrajnagara,Tur,1
Chamrajnagara,H.gram,1
Chamrajnagara,Jowar,1
Chamrajnagara,Avare,1
Chamrajnagara,Sugarcane,1
Chamrajnagara,Cotton,1
Chamrajnagara,Niger,1
Chamrajnagara,Castor,1
Chamrajnagara,Sunflower,1
Chamrajnagara,Maize,1
Chamrajnagara,Sesamum,1
Chamrajnagara,G.nut,1
Chamrajnagara,Cowpea,0
Chamrajnagara,H.gram,0
Chamrajnagara,Maize,0
Chikballapur,Sesamum,1
Chikballapur,Maize,0
Chikballapur,H.gram,0
Chikmagalur,Sesamum,1
Chikmagalur,Horsegram,0
Chikmagalur,Bengalgram,0
Chikmagalur,Jowar,0
Chikmagalur,Ragi,1
Chikmagalur,Paddy,1
Chikmagalur,Jowar,1
Chikmagalur,G.nut,1
Chikmagalur,Avare,1
Chikmagalur,Cotton,1
Chikmagalur,Sugarcane,1
Chikmagalur,Sunflower,1
Chikmagalur,Sugarcane,1
Chikmagalur,Sunflower,1
Chitradurga,Cotton,1
Chitradurga,G.nut,1
Chitradurga,Ragi,1
Chitradurga,Maize,1
Chitradurga,Sunflower,1
Chitradurga,Horsegram,1
Chitradurga,Sunflower,0
Chitradurga,Jowar,0
Chitradurga,Horsegram,0
Chitradurga,Avare,1
Chitradurga,Tur,1
Chitradurga,Jowar,1
Chitradurga,Paddy,1
Chitradurga,Sesamum,1
Dakshin Kannada,Paddy,1
Dakshin Kannada,Paddy,0
Dakshin Kannada,Blackgram,0
Davangere,Jowar,0
Davangere,H.gram,0
Davangere,Sunflower,0
Davangere,Cotton,1
Davangere,Tur,1
Davangere,Ragi,1
Davangere,Jowar,1
Davangere,Paddy,1
Davangere,Maize,1
Davangere,Sunflower,1
Davangere,G.nut,1
Dharwad,Jowar,0
Dharwad,Cotton,1
Dharwad,Tur,1
Dharwad,Soyabean,1
Dharwad,G.nut,1
Dharwad,Greengram,1
Dharwad,Maize,1
Dharwad,Paddy,1
Dharwad,Jowar,1
Dharwad,Safflower,0
Dharwad,Sunflower,0
Dharwad,Bengalgram,0
Dharwad,Wheat,0
Gadag,Safflower,0
Gadag,Bengalgram,0
Gadag,Sunflower,1
Gadag,Wheat,0
Gadag,Jowar,0
Gadag,G.nut,1
Gadag,Maize,1
Gadag,Jowar,1
Gadag,Sunflower,0
Gadag,Greengram,1
Gadag,Cotton,1
Gulbarga,Sugarcane,1
Gulbarga,Safflower,0
Gulbarga,Linseed,0
Gulbarga,Tur,1
Gulbarga,Sunflower,1
Gulbarga,G.nut,1
Gulbarga,Bajra,1
Gulbarga,Blackgram,1
Gulbarga,G.gram,1
Gulbarga,Jowar,1
Gulbarga,Cotton,1
Gulbarga,Jowar,0
Gulbarga,Bengalgram,0
Gulbarga,Sunflower,0
Gulbarga,Wheat,0
Gulbarga,Sesamum,1
Hassan,Cotton,1
Hassan,Tobacco,1
Hassan,Paddy,1
Hassan,Ragi,1
Hassan,G.nut,1
Hassan,S.cane,1
Hassan,Sunflower,1
Hassan,Maize,1
Hassan,Jowar,1
Hassan,Tur,1
Hassan,H.gram,1
Hassan,Bengalgram,0
Hassan,Sunflower,0
Hassan,Sesamum,1
Hassan,H.Gram,0
Hassan,Ragi,0
Hassan,Cowpea,1
Hassan,Avare,1
Hassan,Castor,1
Hassan,Paddy,0
Hassan,Niger,1
Haveri,Horsegram,0
Haveri,Cowpea,1
Haveri,Tur,1
Haveri,Jowar,0
Haveri,Cotton,0
Haveri,Greengram,1
Haveri,Cotton,1
Haveri,G.nut,1
Haveri,Jowar,1
Haveri,M.Millets,1
Haveri,Maize,1
Haveri,Wheat,0
Haveri,Safflower,0
Haveri,Sunflower,0
Haveri,Paddy,1
Haveri,Sunflower,1
Kodagu,Maize,1
Kodagu,Paddy,1
Kolar,Maize,1
Kolar,H.gram,1
Kolar,Castor,1
Kolar,Niger,1
Kolar,Horsegram,0
Kolar,Ragi,1
Kolar,G.nut,1
Kolar,Paddy,1
Kolar,Avare,1
Koppal,Safflower,0
Koppal,G.nut,1
Koppal,Sunflower,0
Koppal,Bengalgram,0
Koppal,Cotton,0
Koppal,Bajra,1
Koppal,Paddy,1
Koppal,Linseed,0
Koppal,Sunflower,1
Koppal,Jowar,1
Koppal,Sesamum,1
Koppal,G.gram,1
Koppal,H.gram,1
Koppal,Cowpea,1
Koppal,M.Millets,1
Koppal,Cotton,1
Koppal,Tur,1
Koppal,Castor,1
Koppal,Niger,1
Koppal,Jowar,0
Koppal,Wheat,0
Mandya,Sugarcane,1
Mandya,Cowpea,1
Mandya,Avare,1
Mandya,Niger,1
Mandya,Paddy,1
Mandya,Castor,1
Mandya,H.gram,1
Mandya,Ragi,0
Mandya,Horsegram,0
Mandya,Ragi,1
Mandya,G.nut,1
Mandya,Sesamum,1
Mysore,Maize,0
Mysore,Avare,1
Mysore,G.nut,1
Mysore,Cowpea,1
Mysore,H.gram,1
Mysore,Tur,1
Mysore,Sesamum,1
Mysore,Maize,1
Mysore,Sunflower,1
Mysore,Niger,1
Mysore,Castor,1
Mysore,Ragi,1
Mysore,Cowpea,0
Mysore,H.gram,0
Mysore,Ragi,0
Mysore,S.cane,1
Mysore,Jowar,1
Mysore,Tobacco,1
Mysore,Cotton,1
Mysore,Paddy,1
Raichur,Safflower,0
Raichur,Bengalgram,0
Raichur,Sunflower,0
Raichur,Wheat,0
Raichur,H.gram,0
Raichur,Sesamum,1
Raichur,Jowar,0
Raichur,Tur,1
Raichur,Sunflower,1
Raichur,Paddy,1
Raichur,Cotton,0
Raichur,Bajra,1
Raichur,G.nut,1
Raichur,Cotton,1
Raichur,Jowar,1
Raichur,M.Millets,1
Raichur,G.gram,1
Ramnagara,Tur,1
Ramnagara,Sunflower,1
Ramnagara,Paddy,1
Ramnagara,Cotton,0
Shimoga,Paddy,1
Shimoga,Maize,1
Shimoga,G.nut,1
Shimoga,Cotton,1
Shimoga,Sugarcane,1
Shimoga,Horsegram,0
Shimoga,Ragi,1
Tumkur,Ragi,1
Tumkur,G.nut,1
Tumkur,Niger,1
Tumkur,Maize,1
Tumkur,Tur,1
Tumkur,Paddy,1
Tumkur,Castor,1
Tumkur,Sunflower,0
Tumkur,H.gram,1
Tumkur,Greengram,1
Tumkur,Sunflower,1
Tumkur,Avare,1
Tumkur,Paddy,0
Tumkur,H.gram,0
Udupi,Blackgram,0
Udupi,Paddy,0
Udupi,Paddy,1
Udupi,Horsegram,0
Uttara Kannada,Sugarcane,1
Uttara Kannada,Cotton,1
Uttara Kannada,Paddy,1
Uttara Kannada,Paddy,0
Uttara Kannada,Blackgram,0
Uttara Kannada,Greengram,0
Yadgir,Sugarcane,1
Yadgir,Cotton,1
Yadgir,Paddy,1
Yadgir,Paddy,0
Yadgir,Blackgram,0
Yadgir,Greengram,0