District,Annual Replenishable Ground Water,Net Ground Water Availability,Irrigation,Domestic & Industrial Use,Total,Future,Projected,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bagalkote,43208,39574,32904,3028,35932,3838,10795,18677,21457,23253,25880,15768,17723,63625,78100,44268,40899,36757,20543
Bangalore Rural,21391,20184,22376,3239,25616,3240,107,13882,15773,16994,18781,11904,13233,44448,54292,31285,28994,26177,15151
Bangalore Urban,13417,12746,12229,5749,17978,5749,0,11565,12598,13266,14242,10484,11211,28270,33650,21076,19824,18285,12259
Belgaum,114125,103436,73925,6337,80261,8000,31892,41495,47740,51776,57678,34959,39352,142478,175000,98990,91421,82114,45686
Bellary,72946,65966,24363,3072,27436,4871,37877,14660,16718,18048,19994,12506,13954,47940,58658,33608,31114,28047,16041
Bidar,32722,30680,15732,1766,17498,2348,13719,9248,10577,11436,12692,7857,8792,30738,37659,21484,19873,17892,10140
Bijapur,51446,47410,30634,5006,35640,6070,16071,19576,22164,23836,26282,16867,18688,61422,74899,43401,40265,36408,21313
Chamrajnagara,37785,34322,26170,1446,27616,1910,10017,13892,16103,17532,19622,11579,13134,49641,61154,34246,31567,28272,15376
Chikballapur,32703,29883,40612,2705,43318,2735,1591,22021,25452,27669,30912,18430,20844,77498,95364,53607,49449,44336,24324
Chikmagalur,68630,56402,22015,2235,24250,2604,32580,12705,14565,15767,17525,10759,12067,42778,52463,29827,27574,24802,13954
Chitradurga,54852,49677,47941,2941,50882,3557,5998,25742,29792,32409,36237,21503,24352,91230,112321,63028,58120,52084,28460
Dakshin Kannada,51579,32404,19414,2958,22373,3471,10614,12192,13833,14892,16442,10476,11630,38712,47253,27291,25304,22860,13293
Davangere,61215,55952,46814,2800,49613,4236,11840,25064,29019,31575,35312,20925,23707,89013,109608,61473,56680,50787,27718
Dharwad,27151,21745,11850,917,12767,1524,8549,6553,7554,8201,9147,5505,6209,22740,27953,15769,14556,13064,7225
Gadag,27127,24957,20613,1577,22190,2011,5581,11381,13122,14247,15893,9558,10783,39538,48607,27412,25302,22707,12549
Gulbarga,69295,63299,16699,3374,20073,4609,42025,11316,12727,13639,14972,9840,10832,34127,41474,24304,22594,20492,12263
Hassan,82020,73593,37804,2347,40151,3486,38414,20327,23521,25584,28603,16984,19231,71968,88599,49729,45858,41099,22470
Haveri,58188,53154,31214,2680,33894,3734,18465,17525,20163,21867,24359,14766,16621,60164,73896,41802,38606,34677,19295
Kodagu,32328,27441,5451,433,5884,617,21373,3025,3486,3784,4219,2544,2867,10472,12870,7265,6707,6021,3335
Kolar,33889,31828,57766,1757,59523,1757,0,29230,34111,37265,41877,24123,27556,108140,133553,74158,68244,60971,32506
Koppal,60093,54352,21625,1590,23215,2533,31181,11875,13702,14882,16609,9963,11248,41415,50929,28694,26480,23757,13101
Mandya,104395,94103,42432,2043,44476,3470,52536,22225,25810,28126,31514,18473,20995,80188,98855,55226,50882,45540,24631
Mysore,63391,57803,23075,2043,25118,3634,32178,13017,14967,16227,18069,10977,12349,44538,54690,30964,28602,25696,14326
Raichur,92116,83209,23232,2207,25439,3483,57628,13256,15219,16487,18342,11202,12583,44992,55212,31325,28946,26021,14573
Ramnagara,24087,22298,19527,4527,24054,4779,749,13814,15464,16530,18089,12088,13248,40488,49079,29001,27002,24544,14921
Shimoga,108216,92549,23330,1962,25292,2856,66378,13058,15029,16302,18165,10995,12382,44927,55191,31203,28814,25877,14381
Tumkur,85428,78424,73846,4488,78334,6596,15495,39609,45848,49880,55775,33080,37469,140484,172971,97043,89482,80185,43796
Udupi,53834,32775,9646,2393,12039,2888,20241,6981,7796,8322,9092,6128,6701,20157,24401,14483,13495,12281,7528
Shimoga,83421,52905,16869,2752,19621,3256,32780,10775,12200,13121,14468,9283,10286,33818,41239,23895,22168,20044,11731
Yadgir,41666,38050,9051,1607,10657,2499,26500,5911,6675,7169,7892,5110,5648,18275,22256,12950,12023,10884,6424